日付	始値	高値	安値	終値	前日比	出来高	売買代金	貸株残高	融資残高	貸借倍率	5DMA	25DMA	75DMA	100DMA	200DMA
2021/02/12	2103.0	2103.0	2066.0	2094.5	12.0	1995400	4169875	34900	10300	0.30	2086.50	2087.20	1981.90	1949.86	1984.57
2021/02/10	2069.0	2089.0	2055.5	2082.5	10.0	1514400	3144919	33000	10100	0.31	2081.60	2086.12	1977.62	1948.77	1982.99
2021/02/09	2097.5	2101.0	2068.0	2072.5	-42.0	2028000	4216311	36200	10400	0.29	2080.70	2085.98	1973.88	1948.30	1981.51
2021/02/08	2086.0	2134.0	2082.0	2114.5	46.0	2744300	5803035	20700	10700	0.52	2075.20	2086.98	1969.94	1947.79	1980.24
2021/02/05	2070.0	2082.5	2054.0	2068.5	-1.5	2647500	5475379	21100	13200	0.63	2062.30	2086.40	1965.91	1947.71	1978.71
2021/02/04	2075.0	2089.0	2065.0	2070.0	-8.0	1304600	2705860	28200	11600	0.41	2052.40	2088.32	1962.27	1947.37	1977.39
2021/02/03	2057.0	2079.0	2051.0	2078.0	33.0	1629800	3372072	35200	6300	0.18	2049.70	2087.94	1958.64	1947.23	1976.21
2021/02/02	2044.0	2056.5	2022.5	2045.0	-5.0	1394100	2844629	37200	8300	0.22	2057.30	2086.36	1954.60	1946.97	1974.90
2021/02/01	2017.0	2059.5	2015.0	2050.0	31.0	1722300	3520610	52200	7600	0.15	2069.50	2084.36	1951.07	1947.28	1973.87
2021/01/29	2043.0	2066.5	2011.5	2019.0	-37.5	2466200	5010503	68600	33200	0.48	2085.60	2082.18	1947.41	1947.64	1972.61
2021/01/28	2033.0	2060.5	2026.0	2056.5	-59.5	4251800	8705983	162800	28900	0.18	2107.50	2081.34	1944.35	1948.26	1971.10
2021/01/27	2111.0	2128.5	2110.5	2116.0	10.0	5516400	11670400	1240200	22300	0.02	2116.50	2079.62	1941.47	1948.42	1969.18
2021/01/26	2121.0	2129.5	2106.0	2106.0	-24.5	2738800	5791493	483200	66300	0.14	2104.50	2074.80	1938.05	1948.22	1967.15
2021/01/25	2131.5	2136.0	2120.0	2130.5	2.0	2546900	5424536	246000	62400	0.25	2093.40	2070.50	1934.95	1948.11	1965.37
2021/01/22	2125.0	2138.5	2115.5	2128.5	27.0	3668200	7796027	157000	3000	0.02	2079.90	2065.74	1931.43	1947.87	1963.64
2021/01/21	2059.0	2105.5	2058.0	2101.5	45.5	2477700	5180858	54700	4900	0.09	2073.50	2059.96	1927.72	1947.92	1962.58
2021/01/20	2054.5	2061.0	2042.5	2056.0	5.5	1789500	3672268	43300	29100	0.67	2083.20	2054.74	1924.47	1948.44	1961.42
2021/01/19	2049.0	2072.5	2037.5	2050.5	-12.5	1778000	3655306	38700	27800	0.72	2096.50	2051.58	1921.82	1949.10	1959.81
2021/01/18	2085.0	2095.0	2053.5	2063.0	-33.5	1758000	3639727	40700	4100	0.10	2108.90	2050.16	1919.96	1949.90	1958.79
2021/01/15	2124.0	2133.5	2092.0	2096.5	-53.5	3191400	6709659	54300	78900	1.45	2117.40	2049.50	1918.13	1950.31	1956.94
2021/01/14	2134.5	2162.5	2119.5	2150.0	27.5	2292300	4921330	81200	8300	0.10	2116.10	2047.32	1915.51	1950.51	1954.97
2021/01/13	2136.5	2139.0	2115.5	2122.5	10.0	1948600	4142694	55000	17900	0.33	2099.60	2039.66	1912.51	1950.01	1952.35
2021/01/12	2118.5	2127.0	2101.0	2112.5	7.0	1656100	3503056	56800	17500	0.31	2090.90	2032.70	1909.93	1949.75	1949.72
