name,stock_id
日本水産(株),1332
マルハニチロ(株),1333
(株)INPEX,1605
コムシスＨＤ(株),1721
大成建設(株),1801
(株)大林組,1802
清水建設(株),1803
(株)長谷工コーポレーション,1808
鹿島建設(株),1812
大和ハウス工業(株),1925
積水ハウス(株),1928
日揮ＨＤ(株),1963
(株)日清製粉グループ本社,2002
明治ＨＤ(株),2269
日本ハム(株),2282
エムスリー(株),2413
(株)ディー・エヌ・エー,2432
サッポロ ＨＤ(株),2501
アサヒグループＨＤ(株),2502
キリンＨＤ(株),2503
宝ＨＤ(株),2531
双日(株),2768
キッコーマン(株),2801
味の素(株),2802
(株)ニチレイ,2871
日本たばこ産業(株),2914
Ｊ.フロントリテイリング(株),3086
(株)三越伊勢丹ＨＤ,3099
東洋紡(株),3101
ユニチカ(株),3103
日清紡ＨＤ(株),3105
東急不動産ＨＤ(株),3289
(株)セブン＆アイ・ＨＤ,3382
帝人(株),3401
東レ(株),3402
(株)クラレ,3405
旭化成(株),3407
(株)ＳＵＭＣＯ,3436
王子ＨＤ(株),3861
日本製紙(株),3863
昭和電工(株),4004
住友化学(株),4005
日産化学(株),4021
日本曹達(株),4041
東ソー(株),4042
(株)トクヤマ,4043
デンカ(株),4061
信越化学工業(株),4063
協和キリン(株),4151
三井化学(株),4183
(株)三菱ケミカルＨＤ,4188
宇部興産(株),4208
(株)電通グループ,4324
花王(株),4452
武田薬品工業(株),4502
アステラス製薬(株),4503
大日本住友製薬(株),4506
塩野義製薬(株),4507
中外製薬(株),4519
エーザイ(株),4523
テルモ(株),4543
第一三共(株),4568
大塚ＨＤ(株),4578
ＤＩＣ(株),4631
Ｚホールディングス(株),4689
トレンドマイクロ(株),4704
(株)サイバーエージェント,4751
富士フイルムＨＤ(株),4901
コニカミノルタ(株),4902
(株)資生堂,4911
出光興産(株),5019
ＥＮＥＯＳ ＨＤ(株),5020
横浜ゴム(株),5101
(株)ブリヂストン,5108
ＡＧＣ(株),5201
日本板硝子(株),5202
日本電気硝子(株),5214
住友大阪セメント(株),5232
太平洋セメント(株),5233
東海カーボン(株),5301
ＴＯＴＯ(株),5332
日本ガイシ(株),5333
新日鐵住金(株),5401
(株)神戸製鋼所,5406
ＪＦＥ ＨＤ(株),5411
大平洋金属(株),5541
(株)日本製鋼所,5631
日本軽金属ＨＤ(株),5703
三井金属鉱業 (株),5706
東邦亜鉛(株),5707
三菱マテリアル(株),5711
住友金属鉱山(株),5713
ＤＯＷＡ ＨＤ(株),5714
古河電気工業(株),5801
住友電気工業(株),5802
(株)フジクラ,5803
東洋製罐グループＨＤ(株),5901
(株)リクルートＨＤ,6098
オークマ(株),6103
(株)アマダ,6113
日本郵政(株),6178
(株)小松製作所,6301
住友重機械工業(株),6302
日立建機(株),6305
(株)クボタ,6326
