日付,始値,高値,安値,終値,出来高,調整後終値
2021/7/2,9630,9810,9600,9700,1818100,9700
2021/7/1,9930,9940,9780,9830,1364800,9830
2021/6/30,10010,10080,9960,10010,1313500,10010
2021/6/29,10150,10180,9960,10010,1021200,10010
2021/6/28,10080,10090,9970,10020,962300,10020
2021/6/25,10150,10230,10110,10150,1166000,10150
2021/6/24,10170,10190,9940,10000,1064800,10000
2021/6/23,10100,10190,10000,10190,1196900,10190
2021/6/22,9930,10070,9890,10000,1641700,10000
2021/6/21,9950,9980,9690,9780,2200800,9780
2021/6/18,10280,10420,10200,10240,1533000,10240
2021/6/17,10100,10120,9880,10110,1450100,10110
2021/6/16,10210,10340,10130,10280,1014000,10280
2021/6/15,10250,10340,10200,10300,1290900,10300
2021/6/14,10080,10130,9930,10130,901600,10130
2021/6/11,10020,10170,9960,9970,1555700,9970
2021/6/10,9870,9990,9830,9910,1032200,9910
2021/6/9,9950,9990,9740,9840,1324600,9840
2021/6/8,10350,10360,10020,10050,1204000,10050
2021/6/7,10600,10600,10200,10220,1241700,10220
2021/6/4,10160,10480,10150,10320,1662500,10320
2021/6/3,9980,10320,9940,10270,1873500,10270
2021/6/2,9720,9860,9670,9860,1195700,9860
2021/6/1,9890,9960,9690,9820,1321400,9820
2021/5/31,9720,9900,9700,9890,1209800,9890
2021/5/28,9860,9890,9600,9690,2184200,9690
2021/5/27,9520,9770,9510,9770,2203300,9770
2021/5/26,9550,9680,9490,9510,1180300,9510
2021/5/25,9540,9700,9470,9590,1315500,9590
2021/5/24,9250,9480,9240,9370,1388500,9370
2021/5/21,9680,9720,9350,9450,1827000,9450
2021/5/20,9180,9500,9140,9460,1389600,9460
2021/5/19,9030,9220,8960,9140,1416100,9140
2021/5/18,9090,9300,8990,9260,1470900,9260
2021/5/17,9310,9340,8950,9080,1484800,9080
2021/5/14,9120,9160,8940,9160,2530500,9160
2021/5/13,9050,9080,8800,8890,2746700,8890
2021/5/12,9810,9930,9220,9350,2719100,9350
2021/5/11,9950,9970,9630,9640,2475900,9640
2021/5/10,10340,10420,10190,10200,1222200,10200
2021/5/7,10160,10430,10110,10310,1488600,10310
2021/5/6,10300,10300,10020,10220,1999600,10220
2021/4/30,10520,10560,10320,10380,1453100,10380
2021/4/28,10350,10690,10310,10520,1937200,10520
2021/4/27,10670,10690,10440,10480,1480600,10480
2021/4/26,10380,10640,10320,10560,1460500,10560
2021/4/23,10200,10300,10100,10300,1163000,10300
2021/4/22,10260,10440,10170,10430,1837800,10430
2021/4/21,10070,10230,9990,10010,1876600,10010
2021/4/20,10430,10470,10270,10300,1859400,10300
2021/4/19,10530,10730,10450,10640,1399600,10640
2021/4/16,10690,10710,10500,10530,1312900,10530
2021/4/15,10550,10620,10420,10490,1615100,10490
2021/4/14,10700,10830,10650,10770,1006400,10770
2021/4/13,10490,10740,10380,10630,1389500,10630
2021/4/12,10790,10860,10600,10650,1282000,10650
2021/4/9,10730,10900,10640,10800,2166000,10800
2021/4/8,10710,10760,10460,10610,2811300,10610
2021/4/7,10590,10990,10460,10920,2469200,10920
2021/4/6,10750,10810,10580,10600,2008600,10600
2021/4/5,10700,10810,10670,10700,2219600,10700
2021/4/2,10290,10500,10270,10500,2222700,10500
2021/4/1,9920,10120,9910,10080,2666600,10080
2021/3/31,9650,9720,9550,9680,1513500,9680
2021/3/30,9500,9660,9430,9640,1619000,9640
2021/3/29,9500,9590,9400,9470,2434200,9470
2021/3/26,8950,9260,8900,9230,1898600,9230
2021/3/25,8840,8890,8680,8820,2241200,8820
2021/3/24,9160,9290,8960,8990,2576900,8990
2021/3/23,9210,9300,9070,9070,1627600,9070
2021/3/22,9250,9280,9050,9070,1614300,9070
2021/3/19,9030,9240,8970,9220,2226600,9220
2021/3/18,9300,9480,9250,9330,2040900,9330
2021/3/17,9020,9210,8980,9030,1957700,9030
2021/3/16,8730,8960,8720,8890,1754800,8890
2021/3/15,8650,8670,8490,8600,1327000,8600
2021/3/12,8440,8750,8420,8710,3005600,8710
2021/3/11,8190,8370,8150,8330,1405700,8330
2021/3/10,8420,8550,8190,8310,2046800,8310
2021/3/9,7980,8230,7840,8120,2409800,8120
2021/3/8,8720,8730,8220,8280,2242300,8280
2021/3/5,8480,8590,8300,8570,2348700,8570
2021/3/4,8630,8830,8580,8680,1860800,8680
2021/3/3,8890,8970,8740,8920,1561900,8920
2021/3/2,9330,9370,9000,9040,1462300,9040
2021/3/1,9050,9300,9010,9120,1983800,9120
2021/2/26,9140,9180,8750,8750,3379800,8750
2021/2/25,9500,9530,9360,9460,1663100,9460
2021/2/24,9500,9600,9340,9350,2085000,9350
2021/2/22,9690,9880,9630,9670,2103300,9670
2021/2/19,9110,9480,9080,9480,1767300,9480
2021/2/18,9340,9490,9170,9180,1704300,9180
2021/2/17,9470,9560,9330,9530,1478400,9530
2021/2/16,9360,9620,9320,9500,2584100,9500
